timestamp,asset,side,t_close_sma10,t_close_sma20,t_close_sma50,t_close_ema12,t_close_ema26,t_ema_spread,t_sma_10_20,t_sma_20_50,t_close_psar,t_psar_bull,t_macd_cross,m_rsi,m_rsi_d,m_stoch_k,m_stoch_d,m_stoch_kd,m_stc,m_stc_delta,m_stc_gap,m_cci,m_williams,m_macd_hist,m_macd_hist_d,v_bb_width,v_bb_width_d,v_pctB,v_atr_pct,v_atr_pct_d,v_squeeze,v_close_kc,b_adx,b_adx_d,b_di_spread,b_pctB_ext,b_bbw_expand,b_squeeze_rel,p_decay,p_decay_pct,fwd_5m_ret,fwd_10m_ret,fwd_15m_ret,fwd_20m_ret,fwd_25m_ret,fwd_30m_ret,target_decay_realized
1780396200,AUDCAD,bullish_exhaustion,0.9968329549531606,2.251711320231137,6.410837755685331,1.3293694260025943,3.0930369547075056,1.7636675287049113,1.2548783652779762,4.159126435454194,1.060460590376379,1,-0.02676272390008471,74.36031477677042,3.648086278143964,71.53032153031292,77.60082107907346,-6.070499548760537,99.98248605822621,-0.01751382735872653,-0.017513934146123233,112.79590531025924,-6.603773584906649,-0.02676272390008471,0.0009512565986783721,16.770396658802227,-0.4306211286839279,0.88218911540886,0.02844661976095437,0.0006667667878978815,1.4673124537692703,2.3563826332525584,70.34196867998006,0.048848005494718905,24.86529790627614,0.38218911540886,-0.4306211286839279,-0.08998350008379252,,,-0.0002212211406966702,-0.0002614431662778527,-0.0004122757622073703,-0.00038210924302151117,-0.00038210924302151117,-0.0005429973453462411,1.0
1780396800,AUDCAD,bullish_exhaustion,-0.11181570593145747,0.975682208208085,5.161557264124825,0.2809769150217832,1.8919448807939965,1.6109679657722134,1.0874979141395424,4.185875055916741,-1.2985049721072093,0,-0.1542677075490267,65.16214217221268,-1.3471139920805086,39.351975937339496,53.22043208221393,-13.868456144874436,98.67277040378622,-1.3097156830437626,-1.3097157116475273,64.61597988004281,-33.64485981308615,-0.1542677075490267,-0.06170195175395193,14.67838317551448,-1.019661752547444,0.6854064033409735,0.027885368537077092,-0.0009059455671932733,1.3228664290594117,1.1881418926610752,69.76841150994257,-0.6660889676681734,20.533812239889613,0.18540640334097347,-1.019661752547444,-0.028793449110354752,,,-0.00015087204039343494,-0.00012069763231481456,-0.00012069763231481456,-0.0002816278087344193,-0.00016093017641960472,-0.00014081390436726515,1.0
1780397100,AUDCAD,bullish_exhaustion,-0.7412343862077737,0.26290086604391083,4.462742201096815,-0.22276794056994115,1.2662463824496801,1.4890143230196211,1.0041352522516844,4.199841335052905,-1.8622144678120822,0,-0.23837717545741227,60.23508360309568,-4.927058569117001,13.25941022213467,33.79679497948785,-20.53738475735318,94.72745874871293,-3.945311655073283,-2.6355959720295346,34.757167934464206,-52.577319587628516,-0.23837717545741227,-0.08220867865351884,12.424535625523298,-2.253847549991182,0.558299767148646,0.027550121103151155,-0.00033524743392593717,1.1386777910179096,0.5926835472125331,68.11242728865558,-1.6559842212869853,16.17227205400529,0.05829976714864604,-2.253847549991182,-0.1841886380415021,,,3.0178961240023838e-05,3.0178961240023838e-05,-0.00013077549870732508,-1.0059653746674613e-05,1.0059653746674613e-05,0.00011065619121386483,0.0
1780397400,AUDCAD,bullish_exhaustion,-0.6031469984397069,0.26248063821019396,4.443927514428374,-0.09768858081999898,1.298902423329959,1.396591004149958,0.8656276366499008,4.18144687621818,-1.7081718696551484,0,-0.29178691901947934,60.87230639324193,0.6372227901462466,12.426727422237187,21.679371193903787,-9.2526437716666,83.30063717254002,-11.426821576172912,-7.481509921099629,15.965480043084183,-53.93258426966349,-0.29178691901947934,-0.04872702426037262,11.446548860127425,-0.9779867653958725,0.5619605518796168,0.0270185333111875,-0.0005315877919636544,1.0773498629292906,0.6478278054834712,65.93822474079127,-2.1742025478643114,13.184605626765215,0.0619605518796168,-0.9779867653958725,-0.06132792808861898,,,0.0,-0.0001609496026555579,-4.0237400663833967e-05,-2.0118700332028006e-05,8.047480132788998e-05,0.00010059350165980696,1.0
1780397700,AUDCAD,bullish_exhaustion,-0.5446166793044097,0.19288507392092413,4.3054974147233676,-0.08396792528870134,1.2217238748819423,1.3056918001706437,0.7375017532253338,4.1126123408024435,-1.6015966279065381,0,-0.32752816231852194,60.87230639324193,0.0,17.452595862738395,14.379577835703417,3.073018027034978,59.61877248536179,-23.681864687178233,-12.255043111005321,3.3305188103300516,-53.93258426966349,-0.32752816231852194,-0.031122764917836193,11.069802969381643,-0.3767458907457826,0.546347092255522,0.02659754059957051,-0.00042099271161698953,1.0636783699578463,0.5954073343199865,63.53276749523582,-2.4054572455554535,11.085895217665591,0.04634709225552203,-0.3767458907457826,-0.013671492971444321,,,-0.0001609496026555579,-4.0237400663833967e-05,-2.0118700332028006e-05,8.047480132788998e-05,0.00010059350165980696,0.00014083090232364093,1.0
1780402500,AUDCAD,bullish_exhaustion,0.1217215510264906,1.0163749510755435,3.0771208099638807,0.29990771498960234,1.296960428619659,0.9970527136300567,0.8946534000490529,2.0607458588883376,0.7860883352224253,1,-0.04441776375879667,64.08493233262826,-2.037335495955247,41.758778855548776,57.57531526032198,-15.816536404773203,11.17390447205373,-2.828942502085839,-5.516019467882051,76.91189299214359,-29.411764705889397,-0.04441776375879667,-0.038123717897657686,10.34053630151319,0.24481665306371347,0.7436295564674619,0.024780478530337897,-0.0006677032814412821,1.0725869956944813,0.8381727032898808,50.97415447390643,-0.621244865804151,13.136698915923766,0.24362955646746187,0.24481665306371347,0.0627064156087862,,,-0.00014076151982223006,2.0108788546080447e-05,0.0002815230396444601,0.0002513598568254505,0.0002614142510983797,0.000321740616736621,0.0
1780402800,AUDCAD,bullish_exhaustion,-0.5387725113756527,0.4071639589784073,2.351680320646887,-0.2299728039963257,0.6841446086033925,0.9141174125997182,0.94593647035406,1.9445163616684793,-1.809617595460755,0,-0.1132550881731072,57.41676817416197,-6.668164158466283,25.393711979072517,41.746189947001746,-16.35247796792923,7.6731927285188375,-3.5007117435348922,-0.671769241449053,43.25808130997353,-43.56435643565129,-0.1132550881731072,-0.0682310337352756,10.321953290996419,-0.018583010516771026,0.5964569644424401,0.024450228039861438,-0.00033025049047645874,1.0886857247571446,0.24774744313005895,49.45321923943836,-1.5209352344680696,9.42717679651997,0.09645696444244012,-0.018583010516771026,0.016098729062663297,,,0.00016089295590537844,0.0004223440092514519,0.00039217658001899913,0.00040223238976322406,0.00046256724822768547,0.0005530695359243776,0.0
1780403400,AUDCAD,bullish_exhaustion,0.8970424241529563,1.8080388415702495,3.550693257559022,1.1742130015885734,2.0752789402438214,0.901065938655248,0.9109964174172932,1.7426544159887722,2.272507474520793,1,-0.05311097276085439,68.50762485355392,6.25657589777952,59.862142099682785,39.82565684580196,20.036485253880826,2.9614184283756955,-1.9182981821297092,0.8751779358837228,110.41229909152428,-2.5641025641051187,-0.05311097276085439,0.06074870098684923,10.738742470748026,0.5213000092303144,0.9246738721522589,0.025211762091296986,0.00014171449438333747,1.0781944812055442,1.6566345654827335,46.22333844655858,-0.9785108859500582,12.06994683590592,0.42467387215225894,0.5213000092303144,0.041967276848754675,,,-3.015469357814382e-05,-2.010312905209588e-05,4.0206258103969716e-05,0.00013067033883817913,6.03093871560656e-05,4.0206258103969716e-05,1.0
1780403700,AUDCAD,bullish_exhaustion,0.6369693754794893,1.5680806600170645,3.3000693631526277,0.908089303583853,1.842726930980022,0.934637627396169,0.9311112845375753,1.731988703135563,2.190850081265943,1,-0.029086516107138072,67.12517355453024,-1.3824512990236855,87.37604881769322,60.486435792008855,26.889613025684362,2.688346280157556,-0.2730721482181395,1.6452260339115696,105.99839539386632,-6.410256410269914,-0.029086516107138072,0.024960620654130003,10.931713652794027,0.1929711820460014,0.8555304237434463,0.024775809948835607,-0.00043595214246137937,1.1237551371612726,1.4151575010399642,45.314721195319244,-0.9086172512393347,11.405362925694076,0.35553042374344634,0.1929711820460014,0.045560655955728446,,,1.0051867637139722e-05,7.036307345908988e-05,0.00016082988219223715,9.046680873314727e-05,7.036307345908988e-05,-1.0051867636917677e-05,0.0
1780404000,AUDCAD,bullish_exhaustion,0.6363187895835949,1.4693940469974487,3.2795535510497746,0.8282710014871696,1.7993166628883215,0.9710456614011518,0.8330752574138539,1.8101595040523257,2.2547453951935323,1,-0.01869058347300327,67.36160387330776,0.23643031877752207,97.07602339180706,81.43807143639435,15.637951955412703,2.0831797963876406,-0.6051664837699153,-0.33209433555177537,100.54046050200294,-5.8823529411822335,-0.01869058347300327,0.011322040380661803,10.369676620535191,-0.5620370322588357,0.8403592457889086,0.02401105464596227,-0.0007647553028733364,1.1128942217627946,1.3590237278944322,44.47100517631129,-0.8437160190079567,10.927899324928717,0.34035924578890864,-0.5620370322588357,-0.010860915398478,,,6.031059958777618e-05,0.0001507764989696625,8.041413278370158e-05,6.031059958777618e-05,-2.0103533195925394e-05,-0.0001407247323716998,0.0
