timestamp,asset,side,open,high,low,close,tick_volume,kc_bb_ratio,bb_width_bps,atr_pct,d_sma50,ema_12_26_ratio,stc_delta,stoch_diff,cci_20,macd_hist_accel,psar_bull_flag,p_decay,p_decay_pct,fwd_5m_ret,fwd_10m_ret,fwd_15m_ret,target_decay_realized
1780396200,AUDCAD,bullish_exhaustion,0.99424,0.99455,0.99418,0.99448,0.0,1.4673124537692703,16.770396658802227,0.02844661976095437,6.410837755685331,1.7636675287049113,-0.01751382735872653,-6.070499548760537,112.79590531025924,0.0009512565986783721,1,,,-0.0002212211406966702,-0.0002614431662778527,-0.0004122757622073703,1.0
1780396800,AUDCAD,bullish_exhaustion,0.99424,0.99433,0.99417,0.99422,0.0,1.3228664290594117,14.67838317551448,0.027885368537077092,5.161557264124825,1.6109679657722134,-1.3097156830437626,-13.868456144874436,64.61597988004281,-0.06170195175395193,0,,,-0.00015087204039343494,-0.00012069763231481456,-0.00012069763231481456,1.0
1780397100,AUDCAD,bullish_exhaustion,0.99422,0.99428,0.99405,0.99407,0.0,1.1386777910179096,12.424535625523298,0.027550121103151155,4.462742201096815,1.4890143230196211,-3.945311655073283,-20.53738475735318,34.757167934464206,-0.08220867865351884,0,,,3.0178961240023838e-05,3.0178961240023838e-05,-0.00013077549870732508,0.0
1780397400,AUDCAD,bullish_exhaustion,0.99407,0.99417,0.99397,0.9941,0.0,1.0773498629292906,11.446548860127425,0.0270185333111875,4.443927514428374,1.396591004149958,-11.426821576172912,-9.2526437716666,15.965480043084183,-0.04872702426037262,0,,,0.0,-0.0001609496026555579,-4.0237400663833967e-05,1.0
1780397700,AUDCAD,bullish_exhaustion,0.99411,0.99413,0.99392,0.9941,0.0,1.0636783699578463,11.069802969381643,0.02659754059957051,4.3054974147233676,1.3056918001706437,-23.681864687178233,3.073018027034978,3.3305188103300516,-0.031122764917836193,0,,,-0.0001609496026555579,-4.0237400663833967e-05,-2.0118700332028006e-05,1.0
1780402500,AUDCAD,bullish_exhaustion,0.99464,0.99466,0.9945,0.99459,0.0,1.0725869956944813,10.34053630151319,0.024780478530337897,3.0771208099638807,0.9970527136300567,-2.828942502085839,-15.816536404773203,76.91189299214359,-0.038123717897657686,1,,,-0.00014076151982223006,2.0108788546080447e-05,0.0002815230396444601,0.0
1780402800,AUDCAD,bullish_exhaustion,0.9946,0.9946,0.9944,0.99445,0.0,1.0886857247571446,10.321953290996419,0.024450228039861438,2.351680320646887,0.9141174125997182,-3.5007117435348922,-16.35247796792923,43.25808130997353,-0.0682310337352756,0,,,0.00016089295590537844,0.0004223440092514519,0.00039217658001899913,0.0
1780403400,AUDCAD,bullish_exhaustion,0.9946,0.99487,0.9946,0.99487,0.0,1.0781944812055442,10.738742470748026,0.025211762091296986,3.550693257559022,0.901065938655248,-1.9182981821297092,20.036485253880826,110.41229909152428,0.06074870098684923,1,,,-3.015469357814382e-05,-2.010312905209588e-05,4.0206258103969716e-05,1.0
1780403700,AUDCAD,bullish_exhaustion,0.99487,0.99487,0.99468,0.99484,0.0,1.1237551371612726,10.931713652794027,0.024775809948835607,3.3000693631526277,0.934637627396169,-0.2730721482181395,26.889613025684362,105.99839539386632,0.024960620654130003,1,,,1.0051867637139722e-05,7.036307345908988e-05,0.00016082988219223715,0.0
1780404000,AUDCAD,bullish_exhaustion,0.99484,0.99485,0.99471,0.99485,0.0,1.1128942217627946,10.369676620535191,0.02401105464596227,3.2795535510497746,0.9710456614011518,-0.6051664837699153,15.637951955412703,100.54046050200294,0.011322040380661803,1,,,6.031059958777618e-05,0.0001507764989696625,8.041413278370158e-05,0.0
1780404300,AUDCAD,bullish_exhaustion,0.99485,0.99496,0.99479,0.99491,0.0,1.117260341297409,10.132829586373047,0.023515132760677758,3.4425510898699376,1.005943521846331,-0.672086570039389,1.549823174536428,115.70666059550044,0.015399769228940641,1,,,9.046044365823569e-05,2.0102320813064622e-05,0.0,0.0
1780404600,AUDCAD,bullish_exhaustion,0.9949,0.99503,0.99486,0.995,0.0,1.1249286364607491,9.950828090091786,0.023053893004597065,3.713387590718032,1.0571529939631181,-0.5207949490969102,-1.2225477953708577,128.57813233221637,0.025692518336035433,1,,,-7.035175879399613e-05,-9.04522613065506e-05,-0.00017085427135676845,1.0
1780415700,AUDCAD,bearish_exhaustion,0.99263,0.99263,0.9921,0.99227,0.0,1.6721905365908314,27.713311698396545,0.03866433079694177,-4.035401063327904,-1.2855459797285438,0.8494804690345767,14.297178630701282,-51.158445440984856,0.056133697621632464,1,,,0.0002922591633325311,0.00032249286988417225,0.0006248299354008058,1.0
1780416000,AUDCAD,bearish_exhaustion,0.99229,0.99262,0.99178,0.99256,0.0,1.4386816150272137,26.329724442188994,0.041937077697962385,-2.919875261398726,-1.0674691959244926,0.5086756789439182,9.341901669842727,-47.26689361035803,0.08596936210805936,1,,,3.022487305548438e-05,0.0003324736036109943,0.00012089949222215957,1.0
1780416300,AUDCAD,bearish_exhaustion,0.99256,0.99271,0.99244,0.99259,0.0,1.3407721097684595,23.544391707198752,0.04088336400719066,-2.8126866315850245,-0.982219666011223,1.5320468944506591,0.5117877379138349,-10.16125469407922,0.06438552637367424,1,,,0.0003022395954019874,9.067187862066284e-05,0.00018134375724132568,1.0
1780416900,AUDCAD,bearish_exhaustion,0.9929,0.993,0.99256,0.99268,0.0,1.0992021893468849,19.339587642595426,0.041354195822104776,-2.377015216274806,-0.7230622622649504,8.3891126912088,-1.1127102546201684,31.599755393452753,0.01732257073632222,1,,,9.066365797649745e-05,2.014747955025875e-05,8.058991820125705e-05,1.0
1780427100,AUDCHF,bullish_exhaustion,0.565,0.56505,0.56497,0.565,0.0,1.14680456177353,11.461035425005084,0.0267292216661568,2.781086711549767,0.8872856226734549,-11.76069723668607,-22.11680884809052,52.95910046775256,-0.05008041457961919,1,0.34934881620200237,44.0,3.53982300884681e-05,7.079646017715824e-05,5.309734513292419e-05,0.0
1780427400,AUDCHF,bullish_exhaustion,0.565,0.56503,0.56498,0.56502,0.0,1.2393224030157024,11.585760038405045,0.025451201871225942,2.884474017101034,0.8781430466135223,-20.810553695794113,-20.869883040941403,50.22715800096567,-0.02972431166189115,1,0.07707278475596323,12.0,3.539697709808998e-05,1.769848854915601e-05,0.00012388941984364799,0.0
1780427700,AUDCHF,bullish_exhaustion,0.56502,0.56509,0.56495,0.56504,0.0,1.2258867677175005,11.529100692950227,0.025402208573937112,2.867640433089891,0.8387706282559095,-17.870379386622595,-5.157299111976066,54.14551607445524,-0.01363978391252395,0,0.07627116413740144,11.333333333333332,-1.7697862098153827e-05,8.848931049132425e-05,0.00012388503468785395,0.0
