timestamp,side,t_close_sma10,t_close_sma20,t_close_sma50,t_close_ema12,t_close_ema26,t_ema_spread,t_sma_10_20,t_sma_20_50,t_close_psar,t_psar_bull,t_macd_cross,m_rsi,m_rsi_d,m_stoch_k,m_stoch_d,m_stoch_kd,m_stc,m_stc_delta,m_stc_gap,m_cci,m_williams,m_macd_hist,m_macd_hist_d,v_bb_width,v_bb_width_d,v_pctB,v_atr_pct,v_atr_pct_d,v_squeeze,v_close_kc,b_adx,b_adx_d,b_di_spread,b_pctB_ext,b_bbw_expand,b_squeeze_rel,p_decay,p_decay_pct,target_decay_realized
1775467800,bullish_exhaustion,1.223232323232184,1.8702020202024359,5.294545454546245,1.2924965639526949,2.8425694376617905,1.5500728737090959,0.6469696969702519,3.4243434343438093,1.688955170235316,1,-0.04660657115113001,72.36327456010355,1.1437919150341145,83.37895866881581,85.34062256142165,-1.9616638926058414,31.07659734559754,-10.082350027837066,6.453448550404346,157.76829925964685,-9.00900900900847,-0.04660657115113001,0.019245463049532063,12.351069285110327,0.5246689980223191,0.9439794687950988,0.029304940102478222,-0.0007425141528634438,1.2568528881564354,2.164925634589658,48.8636363636289,1.8048128342232843,21.717171717168398,0.44397946879509875,0.5246689980223191,0.15990479533544022,,,1.0
1775555400,bullish_exhaustion,-0.208643815201166,0.7813710879288,4.540923994038841,0.30640633552879804,1.7952862072381903,1.4888798717093923,0.990014903129966,3.759552906110041,-1.170491803278509,0,-0.16698601067580282,65.30847268500176,3.2054588156490524,21.339712918665583,33.325851103631244,-11.986138184965661,98.26381266057483,-1.7345968671414624,-1.736037571190991,40.3909996311517,-35.15151515151144,-0.16698601067580282,-0.0461661510825349,24.73562542769073,-2.9648223731333196,0.6567695588149776,0.049608822237765283,-0.0020106079665537166,1.4673566525020096,1.166000793311683,45.454545454542945,-6.0160427807486485,16.393442622948754,0.15676955881497756,-2.9648223731333196,-0.15185189623498618,,,1.0
1775555700,bullish_exhaustion,-0.7488888888889494,0.10888888888905802,4.107111111111476,-0.19394564559978494,1.2560803131150038,1.4500259587147888,0.8577777777780075,3.998222222222418,-1.7608444444445033,0,-0.2508820991373121,60.228638863879624,-5.079833821122136,21.088929219607518,23.37582090086407,-2.2868916812565523,95.35910585914031,-2.9047068014345143,-1.1701160753325865,24.869749752625932,-50.3030303030323,-0.2508820991373121,-0.07302874490959148,20.944708153420077,-3.7909172742706545,0.5242225926704283,0.046589638464406134,-0.0030191837733591492,1.3034180683328538,0.6209632739174783,42.60869565217089,-2.845849802372058,15.555555555553282,0.024222592670428256,-3.7909172742706545,-0.16393858416915585,,,1.0
1775607000,bullish_exhaustion,-0.39586206896563725,0.4378620689657186,5.677627586206576,-0.008832340359287318,1.9049625810118618,1.9137949213711491,0.8337241379313558,5.2397655172408575,-1.696606896551704,0,-0.26265164386627615,63.99527737163459,-4.741655892336333,30.00608533791342,53.55874178060733,-23.55265644269391,98.98112313790801,-1.01883441242299,-1.018873702715041,37.05986277169395,-61.937716262976906,-0.26265164386627615,-0.08833997557377213,63.79759438487947,-18.992280803622315,0.5726968556694096,0.10587202773409247,-0.017380076454437954,1.580099808759916,1.0726518822165227,8.061749571184778,-31.178756757928404,3.2413793103453266,0.07269685566940964,-18.992280803622315,-0.47596654889395573,,,1.0
1775607300,bullish_exhaustion,-0.9020669992872369,-0.20855310049860845,5.174511760512748,-0.4383395925615606,1.3517302489765675,1.790069841538128,0.6935138987886285,5.3830648610113565,-2.187025516749784,0,-0.36742952638891635,59.9399747393618,-4.055302632272792,11.710725957048355,33.359399028796624,-21.64867307174827,93.63958945800854,-5.34153367989947,-4.322699177597045,3.7669592976875244,-79.58477508650633,-0.36742952638891635,-0.09597914605670012,56.7716733265823,-7.025921058297165,0.46235654280522587,0.10249374663955163,-0.0033782810945408442,1.5136569408812508,0.5425638718075633,0.15898251192472523,-7.902767059260054,0.0712758374915552,0.03764345719477413,-7.025921058297165,-0.06644286787866527,,,1.0
1775607600,bullish_exhaustion,-1.1456456456456543,-0.5854354354354521,5.020450450449996,-0.5952237775468595,1.0944816617329094,1.6897054392797688,0.5602102102102022,5.605885885885448,-2.402081825825749,0,-0.46623661745572204,58.15031783684711,-1.7896569025146931,6.698863560844903,16.138558285268893,-9.43969472442399,79.6383361563652,-14.001253301643345,-8.659714706358699,-34.994964753273855,-90.03558718861035,-0.46623661745572204,-0.07922188357910903,50.59568744636097,-6.175985880221333,0.38744515156923953,0.09732985907630406,-0.005163887563247566,1.3447550040039986,0.29833852176377734,0.9433962264142777,0.7844137144895524,-0.4504504504500595,0.11255484843076047,-6.175985880221333,-0.1689019368772522,,,1.0
1775611200,bullish_exhaustion,1.1702912621358883,0.31466019417481733,4.110291262135685,0.8464240515901269,1.4275312813033032,0.5811072297131764,-0.8556310679610709,3.7956310679608674,2.1338500970873295,1,-0.31347651573432167,60.261897733972255,3.006223255108331,76.11190817790487,55.81230767744511,20.299600500459754,0.11559026133176518,-0.0995661975145375,0.08354113481220923,0.4620004619977128,-27.31277533039452,-0.31347651573432167,0.11806190852350185,36.115222621348146,-0.9639361877175361,0.5655632075204977,0.07523256357517054,-0.0013468503000274162,1.2209349181130882,1.024189873507887,10.047846889954057,-13.397129186603381,-4.0776699029133425,0.06556320752049771,-0.9639361877175361,-0.018915305778563818,,,1.0
1775753400,bullish_exhaustion,-0.04265927977832835,1.3631578947366438,5.72759002770084,0.5443877652379074,2.33291322458865,1.7885254593507425,1.4058171745149721,4.364432132964196,-0.7651368421055302,0,-0.11314628069254064,69.6356466382619,1.4712116488913694,29.84944631081319,47.921485067834446,-18.072038757021257,99.64198345710071,-0.3579469589062967,-0.35801088492114275,68.70371615813917,-21.93877551020538,-0.11314628069254064,-0.05936689409717803,34.54417327725825,-4.321378372677046,0.7080222549605315,0.052677659419232484,0.0001373347200259653,1.8287046041461366,1.5906252797895999,56.84210526314929,1.6508484325572823,14.958448753462179,0.2080222549605315,-4.321378372677046,-0.02756860756353441,,,1.0
1775753700,bullish_exhaustion,-0.4371308016878761,0.8585091420534362,5.271561181434291,0.18452100308558303,1.8835799189424864,1.6990589158569034,1.2956399437413122,4.4130520393808546,-1.0633075218005217,0,-0.18562712477493407,66.13837216379645,-3.4972744744654563,26.03610475464097,33.89631491489595,-7.860210160254983,99.1032072461235,-0.5387762109772041,-0.18081753923118526,49.12764003672725,-31.578947368423204,-0.18562712477493407,-0.07073033903651638,32.18128021980379,-2.362893057454464,0.6384743679532325,0.05188410069747956,-0.0007935587217529211,1.764908715211579,1.1585424678958438,50.505050505045354,-6.337054758103939,14.064697609001518,0.13847436795323254,-2.362893057454464,-0.06379588893455757,,,0.0
1775754000,bullish_exhaustion,-0.4103448275859558,0.8106321839081477,5.2926436781611415,0.26162011108910704,1.8933925638403197,1.6317724527512127,1.2209770114941034,4.482011494252994,-0.8762226280461944,0,-0.23482545724442308,66.77265184530762,0.634279681511174,36.743019099323455,30.87619005492587,5.8668290443975835,97.21931571094149,-1.8838915351820162,-1.3450865677174306,38.558027923222205,-28.421052631577965,-0.23482545724442308,-0.04519774788381977,29.76716596525579,-2.414114254548,0.6383606192903626,0.050786386329704745,-0.0010977143677748172,1.6701138144406982,1.1799911192396124,47.99999999999534,-2.505050505050015,13.793103448275586,0.13836061929036259,-2.414114254548,-0.09479490077088082,,,0.0
