index,0
candle_range,0.12137794612958205
atr_14,0.11335128335180121
bb_width_bps,0.1062474895593922
plus_di,0.08089791177671792
minus_di,0.060385030123196785
adx,0.04398158038953536
stc_signal,0.04154394648155747
stc_prev,0.03947876830333518
stc_value,0.039220357238325204
macd_line,0.019181478393545948
upper_wick,0.018646017864472154
ret1,0.017239207050652645
lower_wick,0.01439281240037781
cci_20,0.014185882503108193
macd_signal,0.013691694930475059
ret5,0.012300366772574884
sma_50,0.011733525838920612
bb_lower,0.011357570401580952
williams_r,0.011243565442129651
stc_delta,0.010889301291242342
