fold,acc,auc,train_size,test_size
1,0.5668854114083796,0.6042257617246302,1985,1981
2,0.5588086824835942,0.5725712407111044,3966,1981
3,0.5345784957092378,0.5314183398628796,5947,1981
4,0.6612821807168097,0.7280405598858424,7928,1981
5,0.6643109540636042,0.7376673607716842,9909,1981
