,acc,auc,f1
Logistic Regression,0.6257359125315392,0.6939366667269667,0.5879911464811376
Random Forest,0.6387720773759462,0.7153311685570771,0.5902045817544339
HistGradBoost (sklearn≈XGB),0.6219512195121951,0.7012774591918571,0.6036234014065275
